Date,Open,High,Low,Close
2020/9/30,10,11.41,9.11,9.5
2020/10/1,9.69,10.1,9.23,9.46
2020/10/2,9.06,9.28,8.94,9.2
2020/10/5,9.43,9.49,8.92,9.03
2020/10/6,9.04,10.18,8.9,9.9
2020/10/7,10.04,10.49,9.99,10
2020/10/8,10.29,10.4,9.99,10
2020/10/9,10.13,10.19,9.89,9.95
2020/10/12,10.04,10.05,9.66,9.89
2020/10/13,9.88,9.88,9.41,9.47
2020/10/14,9.6,9.66,9.29,9.34
2020/10/15,9.27,9.91,9.18,9.91
2020/10/16,9.94,9.95,9.66,9.71
2020/10/19,9.79,9.82,9.53,9.57
2020/10/20,9.6,9.66,9.27,9.27
2020/10/21,9.3,9.48,9.2,9.2
2020/10/22,9.37,9.75,9.22,9.68
2020/10/23,9.71,9.83,9.47,9.49
2020/10/26,9.72,9.97,9.6,9.95
2020/10/27,10,11.04,9.92,10.95
2020/10/28,10.66,10.985,10.1,10.85
2020/10/29,10.9,11.1,10.56,10.75
2020/10/30,10.61,10.68,9.85,10.13
2020/11/2,10.23,10.57,10.23,10.54
2020/11/3,10.57,10.94,10.44,10.5
2020/11/4,10.82,10.92,10.55,10.72
2020/11/5,10.9,12.13,10.85,11.88
2020/11/6,12.22,14.96,12.05,13.83
2020/11/9,14.96,15.9,14.11,14.67
2020/11/10,14.99,15.01,13.18,14
2020/11/11,14.57,15.97,14.4,15.96
2020/11/12,16.66,17.059999,14.41,14.58
2020/11/13,14.49,16,14.49,15.8
2020/11/16,15.96,16.1,15.01,15.93
2020/11/17,16.290001,18.75,16.18,17.85
2020/11/18,18.280001,19.25,17.540001,17.9
2020/11/19,18.5,18.98,17.959999,18.98
2020/11/20,19.030001,19.66,18,18.15
2020/11/23,18.629999,21.450001,18.57,21.040001
2020/11/24,22.35,24.27,20.629999,23.82
2020/11/25,23.959999,29.75,23.690001,29.049999
2020/11/27,31.190001,33.5,26.120001,27.66
2020/11/30,28.24,30.15,24.110001,27.110001
2020/12/1,28.09,28.139999,24.450001,25.67
2020/12/2,22.24,23.4,21.15,22.51
2020/12/3,23.549999,25.620001,23.5,24.030001
2020/12/4,24.879999,25.24,23.51,23.85
2020/12/7,24.440001,29,24.440001,28.940001
2020/12/8,30.629999,31.24,27.25,28.59
2020/12/9,28.68,28.85,25.33,26.629999
